metric,value,unit
Number of independent components,21,count
Number of excluded ICs,4,count
Indices of excluded ICs,"[0, 1, 2, 12]",count
Percentage of remaining ICs,80.95,%
Excluded ICs SNR values,"46.801, 19.859, 16.724, 16.071",dB
Number of used ICs,17,count
Indices of used ICs,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20]",count
Used ICs SNR values,"11.61, -8.128, 10.666, 8.066, 6.073, 7.023, 10.536, 6.541, 8.866, 9.955, 4.782, 9.593, 8.644, 9.213, 3.857, 11.188, 7.846",dB
Highest SNR,46.801,dB
Mean SNR,10.752,dB
Mean peak time in seconds after stimulus onset,0.004,s
Mean SNR of remaining ICs,7.431,dB
Mean SNR of excluded ICs,24.864,dB

Noch offen
•⁠  ⁠Mo, 11.5.: 15 Uhr 
•⁠  ⁠⁠So, 17.5.: 8 Uhr
•⁠  ⁠⁠Fr, 22.5.: 8 Uhr
